Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
2020-01-22,India,0,0,0,0,0,0,0,South-East Asia
2020-01-22,Kenya,0,0,0,0,0,0,0,Africa
2020-01-22,US,1,0,0,1,0,0,0,Americas
2020-01-23,India,0,0,0,0,0,0,0,South-East Asia
2020-01-23,Kenya,0,0,0,0,0,0,0,Africa
2020-01-23,US,1,0,0,1,0,0,0,Americas
2020-01-24,India,0,0,0,0,0,0,0,South-East Asia
2020-01-24,Kenya,0,0,0,0,0,0,0,Africa
2020-01-24,US,2,0,0,2,1,0,0,Americas
2020-01-25,India,0,0,0,0,0,0,0,South-East Asia
2020-01-25,Kenya,0,0,0,0,0,0,0,Africa
2020-01-25,US,2,0,0,2,0,0,0,Americas
2020-01-26,India,0,0,0,0,0,0,0,South-East Asia
2020-01-26,Kenya,0,0,0,0,0,0,0,Africa
2020-01-26,US,5,0,0,5,3,0,0,Americas
2020-01-27,India,0,0,0,0,0,0,0,South-East Asia
2020-01-27,Kenya,0,0,0,0,0,0,0,Africa
2020-01-27,US,5,0,0,5,0,0,0,Americas
2020-01-28,India,0,0,0,0,0,0,0,South-East Asia
2020-01-28,Kenya,0,0,0,0,0,0,0,Africa
2020-01-28,US,5,0,0,5,0,0,0,Americas
2020-01-29,India,0,0,0,0,0,0,0,South-East Asia
2020-01-29,Kenya,0,0,0,0,0,0,0,Africa
2020-01-29,US,5,0,0,5,0,0,0,Americas
2020-01-30,India,1,0,0,1,1,0,0,South-East Asia
2020-01-30,Kenya,0,0,0,0,0,0,0,Africa
2020-01-30,US,5,0,0,5,0,0,0,Americas
2020-01-31,India,1,0,0,1,0,0,0,South-East Asia
2020-01-31,Kenya,0,0,0,0,0,0,0,Africa
2020-01-31,US,7,0,0,7,2,0,0,Americas
2020-02-01,India,1,0,0,1,0,0,0,South-East Asia
2020-02-01,Kenya,0,0,0,0,0,0,0,Africa
2020-02-01,US,8,0,0,8,1,0,0,Americas
2020-02-02,India,2,0,0,2,1,0,0,South-East Asia
2020-02-02,Kenya,0,0,0,0,0,0,0,Africa
2020-02-02,US,8,0,0,8,0,0,0,Americas
2020-02-03,India,3,0,0,3,1,0,0,South-East Asia
2020-02-03,Kenya,0,0,0,0,0,0,0,Africa
2020-02-03,US,11,0,0,11,3,0,0,Americas
2020-02-04,India,3,0,0,3,0,0,0,South-East Asia
2020-02-04,Kenya,0,0,0,0,0,0,0,Africa
2020-02-04,US,11,0,0,11,0,0,0,Americas
2020-02-05,India,3,0,0,3,0,0,0,South-East Asia
2020-02-05,Kenya,0,0,0,0,0,0,0,Africa
2020-02-05,US,11,0,0,11,0,0,0,Americas
2020-02-06,India,3,0,0,3,0,0,0,South-East Asia
2020-02-06,Kenya,0,0,0,0,0,0,0,Africa
2020-02-06,US,11,0,0,11,0,0,0,Americas
2020-02-07,India,3,0,0,3,0,0,0,South-East Asia
2020-02-07,Kenya,0,0,0,0,0,0,0,Africa
2020-02-07,US,11,0,0,11,0,0,0,Americas
2020-02-08,India,3,0,0,3,0,0,0,South-East Asia
2020-02-08,Kenya,0,0,0,0,0,0,0,Africa
2020-02-08,US,11,0,0,11,0,0,0,Americas
2020-02-09,India,3,0,0,3,0,0,0,South-East Asia
2020-02-09,Kenya,0,0,0,0,0,0,0,Africa
2020-02-09,US,11,0,3,8,0,0,3,Americas
2020-02-10,India,3,0,0,3,0,0,0,South-East Asia
2020-02-10,Kenya,0,0,0,0,0,0,0,Africa
2020-02-10,US,11,0,3,8,0,0,0,Americas
2020-02-11,India,3,0,0,3,0,0,0,South-East Asia
2020-02-11,Kenya,0,0,0,0,0,0,0,Africa
2020-02-11,US,12,0,3,9,1,0,0,Americas
2020-02-12,India,3,0,0,3,0,0,0,South-East Asia
2020-02-12,Kenya,0,0,0,0,0,0,0,Africa
2020-02-12,US,12,0,3,9,0,0,0,Americas
2020-02-13,India,3,0,0,3,0,0,0,South-East Asia
2020-02-13,Kenya,0,0,0,0,0,0,0,Africa
2020-02-13,US,13,0,3,10,1,0,0,Americas
2020-02-14,India,3,0,0,3,0,0,0,South-East Asia
2020-02-14,Kenya,0,0,0,0,0,0,0,Africa
2020-02-14,US,13,0,3,10,0,0,0,Americas
2020-02-15,India,3,0,0,3,0,0,0,South-East Asia
2020-02-15,Kenya,0,0,0,0,0,0,0,Africa
2020-02-15,US,13,0,3,10,0,0,0,Americas
2020-02-16,India,3,0,3,0,0,0,3,South-East Asia
2020-02-16,Kenya,0,0,0,0,0,0,0,Africa
2020-02-16,US,13,0,3,10,0,0,0,Americas
2020-02-17,India,3,0,3,0,0,0,0,South-East Asia
2020-02-17,Kenya,0,0,0,0,0,0,0,Africa
2020-02-17,US,13,0,3,10,0,0,0,Americas
2020-02-18,India,3,0,3,0,0,0,0,South-East Asia
2020-02-18,Kenya,0,0,0,0,0,0,0,Africa
2020-02-18,US,13,0,3,10,0,0,0,Americas
2020-02-19,India,3,0,3,0,0,0,0,South-East Asia
2020-02-19,Kenya,0,0,0,0,0,0,0,Africa
2020-02-19,US,13,0,3,10,0,0,0,Americas
2020-02-20,India,3,0,3,0,0,0,0,South-East Asia
2020-02-20,Kenya,0,0,0,0,0,0,0,Africa
2020-02-20,US,13,0,3,10,0,0,0,Americas
2020-02-21,India,3,0,3,0,0,0,0,South-East Asia
2020-02-21,Kenya,0,0,0,0,0,0,0,Africa
2020-02-21,US,15,0,5,10,2,0,2,Americas
2020-02-22,India,3,0,3,0,0,0,0,South-East Asia
2020-02-22,Kenya,0,0,0,0,0,0,0,Africa
2020-02-22,US,15,0,5,10,0,0,0,Americas
2020-02-23,India,3,0,3,0,0,0,0,South-East Asia
2020-02-23,Kenya,0,0,0,0,0,0,0,Africa
2020-02-23,US,15,0,5,10,0,0,0,Americas
2020-02-24,India,3,0,3,0,0,0,0,South-East Asia
2020-02-24,Kenya,0,0,0,0,0,0,0,Africa
2020-02-24,US,15,0,5,10,0,0,0,Americas
2020-02-25,India,3,0,3,0,0,0,0,South-East Asia
2020-02-25,Kenya,0,0,0,0,0,0,0,Africa
2020-02-25,US,15,0,6,9,0,0,1,Americas
2020-02-26,India,3,0,3,0,0,0,0,South-East Asia
2020-02-26,Kenya,0,0,0,0,0,0,0,Africa
2020-02-26,US,15,0,6,9,0,0,0,Americas
2020-02-27,India,3,0,3,0,0,0,0,South-East Asia
2020-02-27,Kenya,0,0,0,0,0,0,0,Africa
2020-02-27,US,16,0,6,10,1,0,0,Americas
2020-02-28,India,3,0,3,0,0,0,0,South-East Asia
2020-02-28,Kenya,0,0,0,0,0,0,0,Africa
2020-02-28,US,16,0,7,9,0,0,1,Americas
2020-02-29,India,3,0,3,0,0,0,0,South-East Asia
2020-02-29,Kenya,0,0,0,0,0,0,0,Africa
2020-02-29,US,24,1,7,16,8,1,0,Americas
2020-03-01,India,3,0,3,0,0,0,0,South-East Asia
2020-03-01,Kenya,0,0,0,0,0,0,0,Africa
2020-03-01,US,30,1,7,22,6,0,0,Americas
2020-03-02,India,5,0,3,2,2,0,0,South-East Asia
2020-03-02,Kenya,0,0,0,0,0,0,0,Africa
2020-03-02,US,53,6,7,40,23,5,0,Americas
2020-03-03,India,5,0,3,2,0,0,0,South-East Asia
2020-03-03,Kenya,0,0,0,0,0,0,0,Africa
2020-03-03,US,73,7,7,59,20,1,0,Americas
2020-03-04,India,28,0,3,25,23,0,0,South-East Asia
2020-03-04,Kenya,0,0,0,0,0,0,0,Africa
2020-03-04,US,104,11,7,86,31,4,0,Americas
2020-03-05,India,30,0,3,27,2,0,0,South-East Asia
2020-03-05,Kenya,0,0,0,0,0,0,0,Africa
2020-03-05,US,174,12,7,155,70,1,0,Americas
2020-03-06,India,31,0,3,28,1,0,0,South-East Asia
2020-03-06,Kenya,0,0,0,0,0,0,0,Africa
2020-03-06,US,222,14,7,201,48,2,0,Americas
2020-03-07,India,34,0,3,31,3,0,0,South-East Asia
2020-03-07,Kenya,0,0,0,0,0,0,0,Africa
2020-03-07,US,337,17,7,313,115,3,0,Americas
2020-03-08,India,39,0,3,36,5,0,0,South-East Asia
2020-03-08,Kenya,0,0,0,0,0,0,0,Africa
2020-03-08,US,451,21,7,423,114,4,0,Americas
2020-03-09,India,43,0,3,40,4,0,0,South-East Asia
2020-03-09,Kenya,0,0,0,0,0,0,0,Africa
2020-03-09,US,519,22,7,490,68,1,0,Americas
2020-03-10,India,56,0,4,52,13,0,1,South-East Asia
2020-03-10,Kenya,0,0,0,0,0,0,0,Africa
2020-03-10,US,711,28,8,675,192,6,1,Americas
2020-03-11,India,62,1,4,57,6,1,0,South-East Asia
2020-03-11,Kenya,0,0,0,0,0,0,0,Africa
2020-03-11,US,1109,33,8,1068,398,5,0,Americas
2020-03-12,India,73,1,4,68,11,0,0,South-East Asia
2020-03-12,Kenya,0,0,0,0,0,0,0,Africa
2020-03-12,US,1561,43,12,1506,452,10,4,Americas
2020-03-13,India,82,2,4,76,9,1,0,South-East Asia
2020-03-13,Kenya,1,0,0,1,1,0,0,Africa
2020-03-13,US,2157,52,12,2093,596,9,0,Americas
2020-03-14,India,102,2,4,96,20,0,0,South-East Asia
2020-03-14,Kenya,1,0,0,1,0,0,0,Africa
2020-03-14,US,2870,58,12,2800,713,6,0,Americas
2020-03-15,India,113,2,13,98,11,0,9,South-East Asia
2020-03-15,Kenya,3,0,0,3,2,0,0,Africa
2020-03-15,US,2968,70,12,2886,98,12,0,Americas
2020-03-16,India,119,2,13,104,6,0,0,South-East Asia
2020-03-16,Kenya,3,0,0,3,0,0,0,Africa
2020-03-16,US,4360,97,17,4246,1392,27,5,Americas
2020-03-17,India,142,3,14,125,23,1,1,South-East Asia
2020-03-17,Kenya,3,0,0,3,0,0,0,Africa
2020-03-17,US,6141,131,17,5993,1781,34,0,Americas
2020-03-18,India,156,3,14,139,14,0,0,South-East Asia
2020-03-18,Kenya,3,0,0,3,0,0,0,Africa
2020-03-18,US,8917,188,105,8624,2776,57,88,Americas
2020-03-19,India,194,4,15,175,38,1,1,South-East Asia
2020-03-19,Kenya,7,0,0,7,4,0,0,Africa
2020-03-19,US,14157,265,121,13771,5240,77,16,Americas
2020-03-20,India,244,5,20,219,50,1,5,South-East Asia
2020-03-20,Kenya,7,0,0,7,0,0,0,Africa
2020-03-20,US,19479,362,147,18970,5322,97,26,Americas
2020-03-21,India,330,4,23,303,86,-1,3,South-East Asia
